City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Misratah,LY,68.27,clear sky,32.3754,15.0925,Almasa Hotel
471,Kaliua,TZ,68.56,overcast clouds,-5.0606,31.7936,Millennium Complex
474,Caravelas,BR,69.76,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
475,Abu Dhabi,AE,74.97,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
479,Muriwai Beach,NZ,72.43,clear sky,-36.8167,174.45,Coast Retreat Muriwai - Golf and Surf Holiday
481,Sechura,PE,67.39,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
484,Santa Cruz De La Palma,ES,68.14,clear sky,28.6835,-17.7642,H10 Taburiente Playa
485,Dingle,PH,85.51,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
488,Banda Aceh,ID,82.9,overcast clouds,5.5577,95.3222,Sulthan Hotel International
491,Pasni,PK,73.49,scattered clouds,25.2631,63.471,Kashmiri Hotal
498,Saint-Pierre,RE,74.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
499,Laguna De Perlas,NI,76.96,overcast clouds,12.3429,-83.6712,Hotel Best View
500,Margherita,IN,65.68,overcast clouds,27.2833,95.6833,Dehing Guest House
501,Qeshm,IR,66.09,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
503,Zhuhai,CN,61.99,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
506,Lima,PE,64.9,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
509,Ouallam,NE,76.78,clear sky,14.3188,2.0866,
512,Kabanjahe,ID,71.42,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
514,Paracuru,BR,82.42,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
515,Omboue,GA,76.75,light rain,-1.5746,9.2618,Hotel Olako
517,Kikwit,CD,68.63,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
518,Tocopilla,CL,63.54,broken clouds,-22.092,-70.1979,Hotel Galvarino
520,Namibe,AO,68.65,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
523,Manokwari,ID,83.5,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
527,Kaeo,NZ,69.24,overcast clouds,-35.1,173.7833,Bushido Lodge
528,Kisangani,CD,69.03,overcast clouds,0.5167,25.2,Grand Ramela Hotel
531,Gao,ML,73.04,clear sky,16.6362,1.637,
532,Victoria,HK,62.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
533,Ilhabela,BR,67.82,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
536,Sydney,AU,72.59,broken clouds,-33.8679,151.2073,The Grace Sydney
537,Teguise,ES,62.82,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
539,Ndele,CF,70.3,overcast clouds,8.4109,20.6473,
541,Chinhoyi,ZW,68.74,light rain,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
542,Odweyne,SO,60.89,broken clouds,9.4092,45.064,Eng Hiirey House
543,Awjilah,LY,61.18,overcast clouds,29.1081,21.2869,
544,Broken Hill,AU,76.71,light rain,-31.95,141.4333,Royal Exchange Hotel
545,Coari,BR,73.76,broken clouds,-4.085,-63.1414,HOTEL ALEX FLAT
546,Riohacha,CO,76.3,overcast clouds,11.5444,-72.9072,Hotel Taroa
548,Mogadishu,SO,79.0,broken clouds,2.0371,45.3438,Hotel Juba
549,Bonito,BR,76.66,broken clouds,-21.1211,-56.4819,Marruá Hotel
550,Dagana,MR,80.85,overcast clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
552,Kupang,ID,88.18,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
554,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
555,Bubaque,GW,82.24,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
557,Los Llanos De Aridane,ES,64.15,clear sky,28.6585,-17.9182,Valle Aridane
559,Carutapera,BR,78.73,few clouds,-1.195,-46.02,Lidera
560,Fare,PF,81.01,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
561,Amparafaravola,MG,66.92,broken clouds,-17.5833,48.2167,Aina Franco
562,Myingyan,MM,80.13,few clouds,21.4667,95.3833,Zaw ဆိုင်ကယ်ရောင်းဝယ်ရေး
568,Mtinko,TZ,62.47,broken clouds,-4.55,34.85,
569,Panalingaan,PH,86.85,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
571,Los Andes,CL,69.58,clear sky,-32.8337,-70.5983,Hotel Los Andes
573,Rumonge,BI,71.19,overcast clouds,-3.9736,29.4386,Kwetu Guest House
574,Dakar,SN,74.28,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
576,Nelson Bay,AU,76.75,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
577,Vao,NC,75.2,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
579,Rocha,UY,61.59,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
580,Nyimba,ZM,71.13,scattered clouds,-14.5566,30.8149,Dali Dali Lodge
584,Anito,PH,85.03,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
586,Te Anau,NZ,63.09,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
591,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
596,Tual,ID,83.61,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
597,La Paz Centro,NI,78.66,scattered clouds,12.34,-86.6753,Quinta Momotombo
600,Sumenep,ID,86.25,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
605,Manono,CD,67.64,broken clouds,-7.3,27.4167,Hotel hewa bora
606,Acari,PE,68.86,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
607,Trairi,BR,80.28,overcast clouds,-3.2778,-39.2689,janelas do mar
608,San Julian,MX,61.12,overcast clouds,21.0167,-102.1667,La Nueva España
609,Port Shepstone,ZA,68.72,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
611,Sao Pedro Do Sul,BR,75.85,scattered clouds,-29.6206,-54.1789,Sítio Hotel e Eventos
612,Kindu,CD,68.63,overcast clouds,-2.95,25.95,Résidence Okanda
613,Biak,ID,84.18,broken clouds,-0.9131,122.8766,Penginapan Kim
614,Kahului,US,79.86,broken clouds,20.8947,-156.47,Maui Seaside Hotel
615,Yulara,AU,76.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
616,Campos,BR,63.19,clear sky,-21.75,-41.3,Palace Hotel - Campos dos Goytacazes
619,Champerico,GT,80.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
620,Tessalit,ML,72.82,overcast clouds,20.1986,1.0114,
626,Constitucion,CL,61.43,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
628,Ipu,BR,80.38,overcast clouds,-4.3222,-40.7108,Our hostel Corner
629,The Valley,AI,80.1,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
631,Malmesbury,ZA,62.8,clear sky,-33.4608,18.7271,SuNel's Guest Rooms
633,Christchurch,NZ,61.92,broken clouds,-43.5333,172.6333,The George
634,Kismayo,SO,79.12,overcast clouds,-0.3582,42.5454,Agan-Hotel
635,Maridi,SS,66.97,clear sky,4.9158,29.4742,
640,Guerrero Negro,MX,70.21,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
641,Sapa,PH,85.82,scattered clouds,5.1544,120.3241,
645,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
647,Angoche,MZ,74.98,scattered clouds,-16.2325,39.9086,Guest House HESADA
648,Moron,AR,69.55,overcast clouds,-34.6534,-58.6198,Hotel Morón
